,country,year,sex,suicides_no,population,rate
0,Albania,1987,female,25,1316900,1.8983977522970612
1,Albania,1987,male,48,1392700,3.4465426868672364
2,Albania,1988,female,22,1343600,1.637392080976481
3,Albania,1988,male,41,1420700,2.8859013162525518
4,Albania,1989,female,15,1363300,1.1002714002787355
5,Albania,1989,male,53,1439800,3.6810668148353938
6,Albania,1992,female,14,1423200,0.983698707138842
7,Albania,1992,male,33,1399300,2.358322018151933
8,Albania,1993,female,27,1427400,1.8915510718789408
9,Albania,1993,male,46,1379900,3.333574896731647
10,Albania,1994,female,15,1445100,1.0379904504878554
11,Albania,1994,male,35,1404200,2.4925224327018944
12,Albania,1995,female,34,1473800,2.30696159587461
13,Albania,1995,male,54,1429600,3.7772803581421375
14,Albania,1996,female,39,1496000,2.606951871657754
15,Albania,1996,male,50,1444200,3.4621243595069937
16,Albania,1997,female,52,1528900,3.4011380731244687
17,Albania,1997,male,118,1448400,8.146920740127037
18,Albania,1998,female,58,1537300,3.7728485006179664
19,Albania,1998,male,96,1475400,6.506710044733632
20,Albania,1999,female,48,1543300,3.1102183632475864
21,Albania,1999,male,91,1486400,6.122174381054898
22,Albania,2000,female,16,1372400,1.1658408627222385
23,Albania,2000,male,38,1423900,2.6687267364281198
24,Albania,2001,female,35,1408730,2.484507322198008
25,Albania,2001,male,84,1390619,6.040475500478564
26,Albania,2002,female,42,1418737,2.960379548852254
27,Albania,2002,male,91,1400102,6.499526463071976
28,Albania,2003,female,51,1431674,3.562263476182427
29,Albania,2003,male,73,1412255,5.169038169452401
30,Albania,2004,female,57,1447609,3.9375273295482414
31,Albania,2004,male,89,1427382,6.235191420376606
32,Albania,2005,female,0,1399928,0.0
33,Albania,2005,male,0,1383392,0.0
34,Albania,2006,female,0,1397509,0.0
35,Albania,2006,male,0,1382667,0.0
36,Albania,2007,female,47,1391852,3.376795808749781
37,Albania,2007,male,77,1378492,5.585814063483865
38,Albania,2008,female,61,1384673,4.405372243121661
39,Albania,2008,male,99,1372386,7.213713925965435
40,Albania,2009,female,0,1378059,0.0
41,Albania,2009,male,0,1367676,0.0
42,Albania,2010,female,35,1371628,2.55171227184047
43,Albania,2010,male,61,1364397,4.470839499060757
44,Antigua and Barbuda,1985,female,0,32292,0.0
45,Antigua and Barbuda,1985,male,0,30282,0.0
46,Antigua and Barbuda,1986,female,0,31663,0.0
47,Antigua and Barbuda,1986,male,0,29607,0.0
48,Antigua and Barbuda,1987,female,0,31185,0.0
49,Antigua and Barbuda,1987,male,0,29076,0.0
50,Antigua and Barbuda,1988,female,0,30851,0.0
51,Antigua and Barbuda,1988,male,0,28713,0.0
52,Antigua and Barbuda,1989,female,0,30692,0.0
53,Antigua and Barbuda,1989,male,0,28546,0.0
54,Antigua and Barbuda,1990,female,0,30729,0.0
55,Antigua and Barbuda,1990,male,1,28605,3.4958923265163433
56,Antigua and Barbuda,1991,female,0,31236,0.0
57,Antigua and Barbuda,1991,male,0,29158,0.0
58,Antigua and Barbuda,1992,female,0,31851,0.0
59,Antigua and Barbuda,1992,male,0,29890,0.0
60,Antigua and Barbuda,1993,female,0,32590,0.0
61,Antigua and Barbuda,1993,male,1,30725,3.254678600488202
62,Antigua and Barbuda,1994,female,0,33465,0.0
63,Antigua and Barbuda,1994,male,0,31579,0.0
64,Antigua and Barbuda,1995,female,0,34464,0.0
65,Antigua and Barbuda,1995,male,0,32382,0.0
66,Antigua and Barbuda,1998,female,0,38056,0.0
67,Antigua and Barbuda,1998,male,0,34169,0.0
68,Antigua and Barbuda,1999,female,0,39159,0.0
69,Antigua and Barbuda,1999,male,0,34673,0.0
70,Antigua and Barbuda,2000,female,0,40089,0.0
71,Antigua and Barbuda,2000,male,2,35237,5.675852087294605
72,Antigua and Barbuda,2001,female,0,40681,0.0
73,Antigua and Barbuda,2001,male,2,35816,5.584096493187403
74,Antigua and Barbuda,2002,female,0,41116,0.0
75,Antigua and Barbuda,2002,male,0,36472,0.0
76,Antigua and Barbuda,2003,female,0,41474,0.0
77,Antigua and Barbuda,2003,male,1,37184,2.689328743545611
78,Antigua and Barbuda,2004,female,0,41837,0.0
79,Antigua and Barbuda,2004,male,2,37885,5.279134221987594
80,Antigua and Barbuda,2005,female,0,42258,0.0
81,Antigua and Barbuda,2005,male,0,38551,0.0
82,Antigua and Barbuda,2006,female,0,42774,0.0
83,Antigua and Barbuda,2006,male,0,39199,0.0
84,Antigua and Barbuda,2007,female,0,43358,0.0
85,Antigua and Barbuda,2007,male,1,39773,2.5142684735876095
86,Antigua and Barbuda,2008,female,0,43987,0.0
87,Antigua and Barbuda,2008,male,0,40286,0.0
88,Antigua and Barbuda,2009,female,0,44623,0.0
89,Antigua and Barbuda,2009,male,0,40782,0.0
90,Antigua and Barbuda,2012,female,0,46381,0.0
91,Antigua and Barbuda,2012,male,0,42322,0.0
92,Antigua and Barbuda,2013,female,0,46919,0.0
93,Antigua and Barbuda,2013,male,0,42860,0.0
94,Antigua and Barbuda,2014,female,0,47455,0.0
95,Antigua and Barbuda,2014,male,0,43382,0.0
96,Antigua and Barbuda,2015,female,1,47990,2.083767451552407
97,Antigua and Barbuda,2015,male,0,43899,0.0
98,Argentina,1985,female,538,13690900,3.9296174831457393
99,Argentina,1985,male,1450,13399900,10.820976275942357
100,Argentina,1986,female,641,13768700,4.655486719879146
101,Argentina,1986,male,1643,13475700,12.192316540142627
102,Argentina,1987,female,686,13947900,4.918303113730382
103,Argentina,1987,male,1600,13651500,11.720323773944255
104,Argentina,1988,female,665,14324000,4.642557944708182
105,Argentina,1988,male,1689,13984000,12.078089244851258
106,Argentina,1989,female,606,14529000,4.170968408011563
107,Argentina,1989,male,1641,14173000,11.578353206801665
108,Argentina,1990,female,595,14732000,4.038827043171327
109,Argentina,1990,male,1545,14359100,10.759727280957721
110,Argentina,1991,female,499,15133000,3.297429458798652
111,Argentina,1991,male,1452,14490000,10.020703933747413
112,Argentina,1992,female,504,15361300,3.2809723135411715
113,Argentina,1992,male,1680,14684100,11.440946329703557
114,Argentina,1993,female,493,15584000,3.1635010266940453
115,Argentina,1993,male,1737,14893500,11.66280592204653
116,Argentina,1994,female,510,15806800,3.226459498443708
117,Argentina,1994,male,1731,15104400,11.460236752204656
118,Argentina,1995,female,504,16029500,3.144202875947472
119,Argentina,1995,male,1700,15315900,11.099576257353469
120,Argentina,1996,female,532,16252800,3.2732821421539673
121,Argentina,1996,male,1697,15527900,10.928715409037926
122,Argentina,1997,female,539,16568735,3.253114978300999
123,Argentina,1997,male,1645,15765046,10.434476372603037
124,Argentina,1998,female,526,16789196,3.1329671772251633
125,Argentina,1998,male,1821,15968063,11.404013122944217
126,Argentina,1999,female,493,17006298,2.8989260331672417
127,Argentina,1999,male,1930,16168564,11.936743423843948
128,Argentina,2000,female,550,17219345,3.194082004861393
129,Argentina,2000,male,2224,16366188,13.588992134270974
130,Argentina,2001,female,676,17438298,3.8765251058331494
131,Argentina,2001,male,2456,16572648,14.819599137084188
132,Argentina,2002,female,703,17642501,3.9846958206208973
133,Argentina,2002,male,2459,16765006,14.667456725037855
134,Argentina,2003,female,684,17837389,3.834641942270811
135,Argentina,2003,male,2605,16948518,15.370075424883757
136,Argentina,2004,female,654,18031399,3.627006423628028
137,Argentina,2004,male,2467,17131546,14.40033491431538
138,Argentina,2005,female,664,18230599,3.6422281023240104
139,Argentina,2005,male,2394,17320018,13.822156535865032
140,Argentina,2006,female,612,18420650,3.3223583315463894
141,Argentina,2006,male,2496,17498236,14.264294983791508
142,Argentina,2007,female,600,18624255,3.2216053742820856
143,Argentina,2007,male,2346,17691237,13.260802509174457
144,Argentina,2008,female,611,18838032,3.2434385927362266
145,Argentina,2008,male,2448,17895488,13.679425785985831
146,Argentina,2009,female,584,19054705,3.064859833831067
147,Argentina,2009,male,2300,18103296,12.70486877085808
148,Argentina,2010,female,566,19269234,2.9373248568157924
149,Argentina,2010,male,2377,18309220,12.982530113243492
150,Argentina,2011,female,583,19491572,2.991036330984489
151,Argentina,2011,male,2329,18524167,12.572765080340725
152,Argentina,2012,female,628,19708068,3.1865122446299656
153,Argentina,2012,male,2620,18733710,13.985483921764562
154,Argentina,2013,female,589,19920040,2.956821371844635
155,Argentina,2013,male,2398,18939085,12.661646536778308
156,Argentina,2014,female,687,20131806,3.4125105318420017
157,Argentina,2014,male,2544,19144749,13.288238983963696
158,Argentina,2015,female,604,20346129,2.9686236630073464
159,Argentina,2015,male,2469,19353495,12.757385681500939
160,Armenia,1990,female,29,1527100,1.8990242944142492
161,Armenia,1990,male,64,1456600,4.393793766305094
162,Armenia,1991,female,26,1675100,1.5521461405289236
163,Armenia,1991,male,54,1555700,3.4711062544192326
164,Armenia,1992,female,19,1716800,1.1067101584342964
165,Armenia,1992,male,64,1591900,4.020353037251083
166,Armenia,1993,female,35,1747200,2.003205128205128
167,Armenia,1993,male,71,1619400,4.384339878967519
168,Armenia,1994,female,36,1765600,2.0389669234254644
169,Armenia,1994,male,76,1636900,4.642922597593011
170,Armenia,1995,female,35,1786400,1.9592476489028212
171,Armenia,1995,male,95,1656800,5.73394495412844
172,Armenia,1996,female,24,1807800,1.3275804845668768
173,Armenia,1996,male,63,1678500,3.753351206434316
174,Armenia,1997,female,15,1827200,0.8209281961471103
175,Armenia,1997,male,62,1699500,3.6481318034716095
176,Armenia,1998,female,18,1841100,0.9776763891152028
177,Armenia,1998,male,48,1716900,2.795736501834702
178,Armenia,1999,female,18,1850600,0.9726575164811413
179,Armenia,1999,male,49,1730100,2.832206230853708
180,Armenia,2000,female,14,1864000,0.7510729613733905
181,Armenia,2000,male,47,1742500,2.697274031563845
182,Armenia,2001,female,12,1865438,0.6432805593110036
183,Armenia,2001,male,48,1745078,2.7505933832184004
184,Armenia,2002,female,12,1576826,0.7610224590411371
185,Armenia,2002,male,62,1438018,4.311489842269012
186,Armenia,2003,female,9,1579136,0.5699319121342303
187,Armenia,2003,male,50,1445230,3.4596569404177884
188,Armenia,2006,female,17,1477951,1.1502411108352035
189,Armenia,2006,male,61,1286445,4.741749550116794
190,Armenia,2007,female,20,1464169,1.365962535745532
191,Armenia,2007,male,51,1271144,4.01213395177887
192,Armenia,2008,female,19,1580998,1.2017725512619244
193,Armenia,2008,male,44,1464393,3.004657902625866
194,Armenia,2009,female,10,1443562,0.6927308975991332
195,Armenia,2009,male,43,1246133,3.4506750082053843
196,Armenia,2010,female,19,1437243,1.3219754766591314
197,Armenia,2010,male,54,1238982,4.358416829300183
198,Armenia,2011,female,16,1434102,1.1156807535307809
199,Armenia,2011,male,51,1236264,4.12533245326241
200,Armenia,2012,female,20,1475506,1.3554672092150082
201,Armenia,2012,male,59,1338794,4.406951330824608
202,Armenia,2013,female,24,1475593,1.6264647501038565
203,Armenia,2013,male,43,1335071,3.2208024891560076
204,Armenia,2014,female,15,1473933,1.017685335764923
205,Armenia,2014,male,43,1329096,3.235281725323077
206,Armenia,2015,female,19,1472585,1.290248101128288
207,Armenia,2015,male,55,1322750,4.158004158004158
208,Armenia,2016,female,14,1291746,1.083804401174844
209,Armenia,2016,male,53,1108287,4.782154802862435
210,Aruba,1995,female,0,37329,0.0
211,Aruba,1995,male,8,36252,22.067747986317997
212,Aruba,1999,female,0,42376,0.0
213,Aruba,1999,male,9,39558,22.751403003185196
214,Aruba,2000,female,4,43606,9.173049580332982
215,Aruba,2000,male,6,40282,14.894990318256292
216,Aruba,2001,female,0,44890,0.0
217,Aruba,2001,male,4,41155,9.719353662981412
218,Aruba,2002,female,0,46213,0.0
219,Aruba,2002,male,9,42071,21.392408072068648
220,Aruba,2003,female,0,47485,0.0
221,Aruba,2003,male,2,42972,4.654193428278879
222,Aruba,2004,female,1,48567,2.0590112627916075
223,Aruba,2004,male,7,43768,15.993419850118809
224,Aruba,2005,female,5,49359,10.129864867602667
225,Aruba,2005,male,5,44369,11.269129347066645
226,Aruba,2006,female,2,49793,4.016628843411724
227,Aruba,2006,male,7,44715,15.65470200156547
228,Aruba,2007,female,1,49941,2.002362788089946
229,Aruba,2007,male,7,44873,15.599581039823502
230,Aruba,2008,female,1,49900,2.004008016032064
231,Aruba,2008,male,3,44914,6.679431803001291
232,Aruba,2009,female,0,49854,0.0
233,Aruba,2009,male,4,44941,8.900558510046505
234,Aruba,2010,female,1,49943,2.0022826021664697
235,Aruba,2010,male,6,45063,13.314692763464484
236,Aruba,2011,female,2,50185,3.985254558134901
237,Aruba,2011,male,7,45303,15.451515352184183
238,Australia,1985,female,425,7313800,5.810932757253411
239,Australia,1985,male,1436,7248700,19.8104487701243
240,Australia,1986,female,463,7428700,6.232584436038607
241,Australia,1986,male,1581,7381100,21.41957160856783
242,Australia,1987,female,437,7549000,5.7888462047953375
243,Australia,1987,male,1727,7497500,23.034344781593866
244,Australia,1988,female,460,7682300,5.9877901149395365
245,Australia,1988,male,1712,7629800,22.438333901281815
246,Australia,1989,female,424,7820100,5.421925550824159
247,Australia,1989,male,1642,7750500,21.185729952906264
248,Australia,1990,female,444,7940900,5.591305771386115
249,Australia,1990,male,1758,7866100,22.349067517575417
250,Australia,1991,female,482,8049100,5.988247133219863
251,Australia,1991,male,1806,7963000,22.679894512118548
252,Australia,1992,female,465,8148600,5.706501730358589
253,Australia,1992,male,1786,8054900,22.172838893096127
254,Australia,1993,female,398,8234300,4.833440608187702
255,Australia,1993,male,1640,8135700,20.158068758680876
256,Australia,1994,female,418,8325900,5.02047826661382
257,Australia,1994,male,1865,8223500,22.67890800753937
258,Australia,1995,female,459,8442000,5.437100213219616
259,Australia,1995,male,1711,8324300,20.554280840431026
260,Australia,1996,female,460,8572400,5.366058513368485
261,Australia,1996,male,1966,8442700,23.286389425183888
262,Australia,1997,female,557,8683543,6.414432449980382
263,Australia,1997,male,2089,8537757,24.46778468864832
264,Australia,1998,female,524,8789173,5.961880600142925
265,Australia,1998,male,2108,8632557,24.419184257920335
266,Australia,1999,female,489,8903984,5.49192361531647
267,Australia,1999,male,1999,8737718,22.87782691087078
268,Australia,2000,female,505,9024949,5.5955994875982125
269,Australia,2000,male,1886,8849461,21.312032450337934
270,Australia,2001,female,522,9157730,5.7001025363272335
271,Australia,2001,male,1936,8973153,21.575470740329514
272,Australia,2002,female,506,9268481,5.459362758579318
273,Australia,2002,male,1813,9101577,19.91962491774777
274,Australia,2003,female,471,9382862,5.019790336892944
275,Australia,2003,male,1685,9225167,18.265252000316092
276,Australia,2004,female,442,9511351,4.647079053228085
277,Australia,2004,male,1672,9343200,17.895367754088536
278,Australia,2006,female,494,9641316,5.123781857165557
279,Australia,2006,male,1623,9467930,17.142078574725414
280,Australia,2007,female,530,9945972,5.328790388712134
281,Australia,2007,male,1699,9788458,17.35717719787938
282,Australia,2008,female,508,10131802,5.013915589744055
283,Australia,2008,male,1833,9988510,18.35108539712129
284,Australia,2009,female,552,10329158,5.344094842967839
285,Australia,2009,male,1785,10200159,17.499727210134665
286,Australia,2010,female,553,10491256,5.271056201469109
287,Australia,2010,male,1867,10356291,18.027689642942633
288,Australia,2011,female,580,10512203,5.517397257263773
289,Australia,2011,male,1812,10369707,17.47397491558826
290,Australia,2012,female,650,10690641,6.080084440212706
291,Australia,2012,male,1930,10548268,18.296842666492736
292,Australia,2013,female,664,10873968,6.106326595774422
293,Australia,2013,male,1944,10726212,18.123826006795316
294,Australia,2014,female,709,11046550,6.418293494348914
295,Australia,2014,male,2182,10881037,20.05323573479256
296,Australia,2015,female,735,11201512,6.561614182085418
297,Australia,2015,male,2292,11039273,20.76223678860012
298,Austria,1985,female,624,3751216,16.634605951776702
299,Austria,1985,male,1467,3358899,43.67502565572826
300,Austria,1986,female,628,3751163,16.741474577351077
301,Austria,1986,male,1511,3367986,44.86360691523065
302,Austria,1987,female,624,3752067,16.630833084803655
303,Austria,1987,male,1445,3377939,42.7775634787958
304,Austria,1988,female,529,3754574,14.08948125672846
305,Austria,1988,male,1322,3389836,38.998936821722346
306,Austria,1989,female,585,3765532,15.535653395058121
307,Austria,1989,male,1313,3412134,38.480317595967804
308,Austria,1990,female,541,3785073,14.29298721583441
309,Austria,1990,male,1284,3446280,37.25756467843588
310,Austria,1991,female,470,3812047,12.329333819861088
311,Austria,1991,male,1299,3487681,37.24537880614655
312,Austria,1992,female,477,3844533,12.407228654299495
313,Austria,1992,male,1282,3530835,36.308691853343475
314,Austria,1993,female,460,3868844,11.889856504940495
315,Austria,1993,male,1244,3564725,34.89750261240348
316,Austria,1994,female,491,3879372,12.65668773193187
317,Austria,1994,male,1285,3583180,35.861999676265214
318,Austria,1995,female,455,3884513,11.713180004803691
319,Austria,1995,male,1333,3592517,37.10490444443269
320,Austria,1996,female,443,3891584,11.38353945334342
321,Austria,1996,male,1336,3602122,37.089249059304485
322,Austria,1997,female,417,3899564,10.693503171123746
323,Austria,1997,male,1175,3613025,32.521225289058336
324,Austria,1998,female,382,3908154,9.774435705450706
325,Austria,1998,male,1177,3625365,32.46569655745008
326,Austria,1999,female,429,3919903,10.944148362854897
327,Austria,1999,male,1126,3641706,30.919574507112873
328,Austria,2000,female,432,3932182,10.986266658053976
329,Austria,2000,male,1156,3659891,31.585640118790423
330,Austria,2001,female,408,3949662,10.329997858044562
331,Austria,2001,male,1081,3684898,29.33595448232217
332,Austria,2002,female,363,3968970,9.14594970483526
333,Austria,2002,male,1190,3714192,32.03926991388706
334,Austria,2003,female,388,3985088,9.736296914898743
335,Austria,2003,male,1068,3736945,28.579494747715046
336,Austria,2004,female,346,4008915,8.630764184324187
337,Austria,2004,male,1076,3764190,28.585167061173852
338,Austria,2005,female,350,4032829,8.67877115543456
339,Austria,2005,male,1049,3794632,27.644314389379524
340,Austria,2006,female,297,4051115,7.331314958968086
341,Austria,2006,male,1000,3818154,26.190667008192964
342,Austria,2007,female,317,4064372,7.799482921346766
343,Austria,2007,male,968,3832900,25.255028829345925
344,Austria,2008,female,304,4077800,7.455000245230271
345,Austria,2008,male,963,3847458,25.029512992734425
346,Austria,2009,female,306,4087694,7.485883238813864
347,Austria,2009,male,972,3859200,25.186567164179106
348,Austria,2010,female,294,4097737,7.1746917871986415
349,Austria,2010,male,970,3870684,25.060170243812205
350,Austria,2011,female,313,4109664,7.616194413947223
351,Austria,2011,male,975,3885482,25.093411834104494
352,Austria,2012,female,289,4124932,7.006176101812103
353,Austria,2012,male,987,3906344,25.26659198473048
354,Austria,2013,female,324,4145640,7.815439835586303
355,Austria,2013,male,967,3933975,24.580735769800267
356,Austria,2014,female,324,4172127,7.765823044217014
357,Austria,2014,male,990,3969038,24.94307184763663
358,Austria,2015,female,290,4201798,6.901807273933683
359,Austria,2015,male,961,4017588,23.919824531534843
360,Austria,2016,female,295,3834844,7.6926206124681995
361,Austria,2016,male,906,3649785,24.8233800073155
362,Azerbaijan,1990,female,25,3174100,0.7876248385369081
363,Azerbaijan,1990,male,89,2982700,2.9838736715056826
364,Azerbaijan,1991,female,32,3241000,0.9873495834618945
365,Azerbaijan,1991,male,102,3049600,3.344700944386149
366,Azerbaijan,1992,female,38,3277100,1.1595618076958287
367,Azerbaijan,1992,male,106,3093300,3.426761064235606
368,Azerbaijan,1993,female,36,3307200,1.0885341074020318
369,Azerbaijan,1993,male,83,3135400,2.647190151176883
370,Azerbaijan,1994,female,19,3341200,0.5686579671974141
371,Azerbaijan,1994,male,28,3180000,0.8805031446540881
372,Azerbaijan,1995,female,7,3378500,0.20719254106852153
373,Azerbaijan,1995,male,42,3227400,1.3013571295779884
374,Azerbaijan,1996,female,13,3404200,0.3818812055695905
375,Azerbaijan,1996,male,56,3263900,1.7157388400379914
376,Azerbaijan,1997,female,21,3423400,0.6134252497517089
377,Azerbaijan,1997,male,86,3287800,2.6157308838737148
378,Azerbaijan,1998,female,15,3600000,0.4166666666666667
379,Azerbaijan,1998,male,41,3444400,1.1903379398443852
380,Azerbaijan,1999,female,10,3639100,0.2747932181033772
381,Azerbaijan,1999,male,44,3467300,1.268998932887261
382,Azerbaijan,2000,female,16,3812650,0.4196556201067499
383,Azerbaijan,2000,male,46,3602600,1.2768556042857937
384,Azerbaijan,2001,female,81,3861100,2.0978477635906865
385,Azerbaijan,2001,male,236,3656900,6.4535535562908475
386,Azerbaijan,2002,female,19,3902100,0.4869173009405192
387,Azerbaijan,2002,male,73,3703600,1.9710551895453072
388,Azerbaijan,2003,female,36,3933800,0.9151456606843256
389,Azerbaijan,2003,male,93,3740600,2.486232155269208
390,Azerbaijan,2004,female,30,3962800,0.7570404764308065
391,Azerbaijan,2004,male,78,3775450,2.06597888993365
392,Azerbaijan,2007,female,14,4045150,0.3460934699578508
393,Azerbaijan,2007,male,41,3875950,1.0578051832453979
394,Bahamas,1985,female,0,103700,0.0
395,Bahamas,1985,male,1,100000,1.0
396,Bahamas,1987,female,0,111800,0.0
397,Bahamas,1987,male,3,109100,2.749770852428964
398,Bahamas,1993,female,1,124300,0.8045052292839904
399,Bahamas,1993,male,6,119200,5.033557046979865
400,Bahamas,1994,female,0,127400,0.0
401,Bahamas,1994,male,3,121900,2.4610336341263332
402,Bahamas,1995,female,0,129900,0.0
403,Bahamas,1995,male,2,124600,1.6051364365971108
404,Bahamas,1996,female,0,128566,0.0
405,Bahamas,1996,male,3,123872,2.421854817876518
406,Bahamas,1997,female,0,130783,0.0
407,Bahamas,1997,male,2,125173,1.5977886604938765
408,Bahamas,1998,female,0,133352,0.0
409,Bahamas,1998,male,3,126773,2.366434493149172
410,Bahamas,1999,female,1,136118,0.7346566949264609
411,Bahamas,1999,male,5,128673,3.8858190918063618
412,Bahamas,2000,female,2,138914,1.4397396950631325
413,Bahamas,2000,male,9,130824,6.879471656576775
414,Bahamas,2001,female,0,142276,0.0
415,Bahamas,2001,male,1,133864,0.7470268332038487
416,Bahamas,2002,female,0,145529,0.0
417,Bahamas,2002,male,3,137026,2.1893655218717614
418,Bahamas,2003,female,0,148672,0.0
419,Bahamas,2003,male,1,140216,0.7131853711416671
420,Bahamas,2004,female,0,151804,0.0
421,Bahamas,2004,male,2,143433,1.3943792572141698
422,Bahamas,2005,female,1,155050,0.6449532408900355
423,Bahamas,2005,male,3,146713,2.044808571837533
424,Bahamas,2006,female,0,158425,0.0
425,Bahamas,2006,male,2,150074,1.3326758798992497
426,Bahamas,2007,female,1,161703,0.6184177164307403
427,Bahamas,2007,male,4,153286,2.6095011938467962
428,Bahamas,2008,female,0,164978,0.0
429,Bahamas,2008,male,4,156469,2.556416926036467
430,Bahamas,2009,female,1,168210,0.5944949765174484
431,Bahamas,2009,male,5,159603,3.132773193486338
432,Bahamas,2010,female,4,171279,2.3353709444823942
433,Bahamas,2010,male,6,162590,3.6902638538655514
434,Bahamas,2011,female,1,173555,0.5761862233873988
435,Bahamas,2011,male,3,164828,1.8200791127721019
436,Bahamas,2012,female,1,176161,0.5676625359756132
437,Bahamas,2012,male,4,167397,2.3895290835558582
438,Bahamas,2013,female,1,178883,0.559024613853748
439,Bahamas,2013,male,4,170076,2.351889743408829
440,Bahrain,1985,female,1,143900,0.6949270326615705
441,Bahrain,1985,male,10,222000,4.504504504504505
442,Bahrain,1987,female,2,146300,1.367053998632946
443,Bahrain,1987,male,7,217600,3.2169117647058822
444,Bahrain,1988,female,1,158300,0.6317119393556538
445,Bahrain,1988,male,13,231400,5.617977528089888
446,Bahrain,1997,female,0,222442,0.0
447,Bahrain,1997,male,0,307312,0.0
448,Bahrain,1998,female,0,230002,0.0
449,Bahrain,1998,male,0,316006,0.0
450,Bahrain,1999,female,3,238268,1.259086406903151
451,Bahrain,1999,male,14,327494,4.274887478854574
452,Bahrain,2000,female,1,247589,0.40389516497098016
453,Bahrain,2000,male,28,343005,8.163146309820556
454,Bahrain,2001,female,3,258965,1.1584577066398933
455,Bahrain,2001,male,20,365118,5.477681187999496
456,Bahrain,2002,female,7,270783,2.585095814729876
457,Bahrain,2002,male,18,390227,4.612699787559548
458,Bahrain,2003,female,5,283695,1.7624561589030472
459,Bahrain,2003,male,29,419218,6.917641895147632
460,Bahrain,2004,female,7,298453,2.3454279233246105
461,Bahrain,2004,male,35,453106,7.724461825709658
462,Bahrain,2005,female,7,321386,2.178066250552295
463,Bahrain,2005,male,35,498154,7.025939769629472
464,Bahrain,2006,female,11,344827,3.190005423009219
465,Bahrain,2006,male,17,543716,3.126632285972824
466,Bahrain,2007,female,6,370492,1.619468166654071
467,Bahrain,2007,male,34,594278,5.721228112095686
468,Bahrain,2008,female,8,387804,2.0628977524728986
469,Bahrain,2008,male,35,636306,5.50049818797874
470,Bahrain,2009,female,6,404387,1.4837272216960486
471,Bahrain,2009,male,30,688535,4.357076982288482
472,Bahrain,2010,female,4,420247,0.951821190871083
473,Bahrain,2010,male,15,718913,2.086483343603468
474,Bahrain,2011,female,6,408660,1.4682131845543973
475,Bahrain,2011,male,12,694802,1.7271107452195014
476,Bahrain,2012,female,1,445327,0.22455409171238214
477,Bahrain,2012,male,18,756451,2.3795328448240536
478,Bahrain,2013,female,0,453706,0.0
479,Bahrain,2013,male,5,760786,0.6572150381316165
480,Bahrain,2014,female,1,458879,0.2179223716927556
481,Bahrain,2014,male,8,755087,1.0594805631668933
482,Barbados,1985,female,2,122000,1.639344262295082
483,Barbados,1985,male,5,109000,4.587155963302752
484,Barbados,1986,female,1,122300,0.8176614881439084
485,Barbados,1986,male,7,109300,6.404391582799634
486,Barbados,1987,female,2,123600,1.6181229773462784
487,Barbados,1987,male,4,110100,3.6330608537693005
488,Barbados,1988,female,1,124100,0.8058017727639001
489,Barbados,1988,male,11,110700,9.93676603432701
490,Barbados,1989,female,4,123000,3.252032520325203
491,Barbados,1989,male,12,113000,10.619469026548673
492,Barbados,1990,female,3,124000,2.4193548387096775
493,Barbados,1990,male,13,113000,11.504424778761061
494,Barbados,1991,female,4,124000,3.225806451612903
495,Barbados,1991,male,13,113000,11.504424778761061
496,Barbados,1992,female,3,126000,2.380952380952381
497,Barbados,1992,male,11,114000,9.649122807017545
498,Barbados,1993,female,1,124800,0.8012820512820513
499,Barbados,1993,male,15,114800,13.066202090592334
500,Barbados,1994,female,4,125100,3.1974420463629096
501,Barbados,1994,male,10,115200,8.680555555555555
502,Barbados,1995,female,5,125400,3.9872408293460926
503,Barbados,1995,male,12,115800,10.362694300518134
504,Barbados,2000,female,2,131011,1.5265893703582143
505,Barbados,2000,male,8,120122,6.659895772631159
506,Barbados,2001,female,0,131704,0.0
507,Barbados,2001,male,2,120702,1.656973372437905
508,Barbados,2002,female,0,132226,0.0
509,Barbados,2002,male,0,121127,0.0
510,Barbados,2003,female,0,132648,0.0
511,Barbados,2003,male,0,121474,0.0
512,Barbados,2004,female,0,133086,0.0
513,Barbados,2004,male,3,121839,2.462265776967966
514,Barbados,2005,female,0,133597,0.0
515,Barbados,2005,male,1,122292,0.8177149772675236
516,Barbados,2006,female,0,134124,0.0
517,Barbados,2006,male,9,122759,7.3314380208375765
518,Barbados,2007,female,0,134747,0.0
519,Barbados,2007,male,0,123336,0.0
520,Barbados,2008,female,1,135437,0.7383506722682871
521,Barbados,2008,male,0,123977,0.0
522,Barbados,2009,female,0,136113,0.0
523,Barbados,2009,male,5,124605,4.0126800690180975
524,Barbados,2010,female,0,136752,0.0
525,Barbados,2010,male,3,125175,2.396644697423607
526,Barbados,2011,female,0,137410,0.0
527,Barbados,2011,male,0,125793,0.0
528,Barbados,2012,female,0,137992,0.0
529,Barbados,2012,male,0,126278,0.0
530,Barbados,2013,female,0,138491,0.0
531,Barbados,2013,male,0,126674,0.0
532,Belarus,1990,female,435,5034600,8.640209748540103
533,Belarus,1990,male,1650,4374200,37.72118330208953
534,Belarus,1991,female,442,5063500,8.729139922978177
535,Belarus,1991,male,1727,4412700,39.13703628164163
536,Belarus,1992,female,470,5107800,9.201613218998395
537,Belarus,1992,male,1954,4463100,43.78122829423495
538,Belarus,1993,female,525,5140900,10.212219650255792
